Target Name,Target Accession,Target Length,Query Name,Query Accession,Query Length,E-value,Score,Bias,Domain Index,Domain Count,Cond. E-value,Domain Ind. E-value,Domain Bit-score,Domain Bias,Query Ali. Start,Query Ali. End,Target Ali. Start,Target Ali. End,Target Env. Start,Target Env. End,Acc,Description,Mapped PDB(s),Number of Identical Sequences,targetCoverage
ADU37_CDS16120,ADU37_CDS16120,554,Query,-,528,6.4e-203,688.1,28,1,1,3.1e-207,7.3e-203,687.9068604,28.01,3,525,13,536,11,539,0.99,Heat shock protein 60 family chaperone GroEL / Thermosome subunit,,0,0.992424242424242
MmarC7_0761,MmarC7_0761,542,Query,-,528,6.8e-203,688,29.3,1,1,3.2e-207,7.5e-203,687.859436,29.28,7,523,6,521,1,526,0.98,thermosome,,0,0.977272727272727
MTCT_0710,MTCT_0710,538,Query,-,528,7.7e-203,687.8,25.6,1,1,3.7e-207,8.9e-203,687.6229248,25.62,2,525,5,522,4,525,0.99,chaperonin,,0,0.981060606060606
Mfer_0081,Mfer_0081,544,Query,-,528,9.8e-203,687.5,25.1,1,1,5.2e-207,1.2e-202,687.1533203,25.13,2,524,10,526,9,529,0.99,thermosome subunit,,0,0.979166666666667
GQS_05875,GQS_05875,545,Query,-,528,1.4e-202,686.9,27.2,1,1,7.2e-207,1.7e-202,686.6713867,27.21,3,524,7,529,5,532,0.99,chaperonin beta subunit,,0,0.990530303030303
AF_1451,AF_1451,545,Query,-,528,1.4e-202,686.9,25.4,1,1,7.2e-207,1.7e-202,686.6864624,25.41,3,524,7,529,5,532,0.98,thermosome, subunit beta (thsB),,0,0.990530303030303
AFULGI_00015660,AFULGI_00015660,545,Query,-,528,1.4e-202,686.9,25.4,1,1,7.2e-207,1.7e-202,686.6864624,25.41,3,524,7,529,5,532,0.98,thermosome, various subunit, archaeal,,0,0.990530303030303
Mboo_0199,Mboo_0199,552,Query,-,528,1.4e-202,686.9,24.8,1,1,7.1e-207,1.7e-202,686.7039795,24.76,3,524,8,527,6,530,0.99,thermosome,,0,0.984848484848485
Metok_0556,Metok_0556,545,Query,-,528,1.5e-202,686.9,30.4,1,1,7.1e-207,1.7e-202,686.7022095,30.35,3,526,5,527,3,529,0.99,thermosome,,0,0.990530303030303
TEU_07875,TEU_07875,551,Query,-,528,2.1e-202,686.4,25.2,1,1,1.1e-206,2.5e-202,686.121582,25.19,3,523,7,528,5,532,0.99,thermosome subunit,,0,0.988636363636364
MTBMA_c11900,MTBMA_c11900,536,Query,-,528,3.3e-202,685.7,26.9,1,1,1.6e-206,3.8e-202,685.5423584,26.92,2,527,5,524,4,525,0.99,thermosome, subunit beta (chaperonin subunit),,0,0.984848484848485
MSLAZ_3150,MSLAZ_3150,553,Query,-,528,4.1e-202,685.4,19.4,1,1,2.1e-206,5.1e-202,685.1174316,19.41,3,522,4,524,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.986742424242424
Arcpr_0266,Arcpr_0266,545,Query,-,528,4.7e-202,685.2,23.9,1,1,2.4e-206,5.6e-202,684.9837646,23.9,4,526,8,531,5,534,0.98,thermosome,,0,0.992424242424242
MCON_1442,MCON_1442,545,Query,-,528,5.4e-202,685,24,1,1,2.8e-206,6.6e-202,684.7506714,24.03,3,520,9,524,7,529,0.99,thermosome subunit delta,,0,0.977272727272727
TAM4_1352,TAM4_1352,545,Query,-,528,5.6e-202,685,25.4,1,1,2.7e-206,6.4e-202,684.788269,25.39,3,526,7,531,5,533,0.99,Thermosome, alpha subunit,,0,0.994318181818182
BD01_1295,BD01_1295,545,Query,-,528,5.7e-202,685,26.1,1,1,2.9e-206,6.8e-202,684.7001953,26.08,3,526,7,531,5,533,0.99,Chaperonin GroEL (HSP60 family),,0,0.994318181818182
AFULGI_00025310,AFULGI_00025310,545,Query,-,528,6.5e-202,684.8,25.4,1,1,3.2e-206,7.6e-202,684.5489502,25.41,3,524,7,529,5,533,0.99,thermosome, various subunit, archaeal,,0,0.990530303030303
AF_2238,AF_2238,545,Query,-,528,6.5e-202,684.8,25.4,1,1,3.2e-206,7.6e-202,684.5489502,25.41,3,524,7,529,5,533,0.99,thermosome, subunit alpha (thsA),,0,0.990530303030303
Metfor_2914,Metfor_2914,551,Query,-,528,8.5e-202,684.4,24.1,1,1,4.2e-206,1e-201,684.1554565,24.11,3,524,8,527,6,530,0.99,chaperonin GroEL,,0,0.984848484848485
MSHOH_4032,MSHOH_4032,551,Query,-,528,1.2e-201,683.9,21.7,1,1,5.8e-206,1.4e-201,683.6838379,21.69,3,523,4,524,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.986742424242424
AMR53_05170,AMR53_05170,545,Query,-,528,1.3e-201,683.8,29.1,1,1,6.4e-206,1.5e-201,683.5462036,29.1,3,527,7,532,5,533,0.99,thermosome subunit,,0,0.996212121212121
GQS_01355,GQS_01355,550,Query,-,528,1.3e-201,683.7,26.2,1,1,6.8e-206,1.6e-201,683.4699707,26.24,3,523,7,528,5,532,0.99,chaperonin, alpha subunit,,0,0.988636363636364
GAH_00180,GAH_00180,549,Query,-,528,1.6e-201,683.5,30.7,1,1,8.2e-206,2e-201,683.1966553,30.74,3,523,7,528,5,533,0.99,thermosome subunit,,0,0.988636363636364
DU50_16780,DU50_16780,551,Query,-,528,1.7e-201,683.4,21.7,1,1,8e-206,1.9e-201,683.2279053,21.65,3,524,4,525,2,529,0.99,thermosome subunit,,55,0.988636363636364
MM_1379,MM_1379,551,Query,-,528,1.7e-201,683.4,21.7,1,1,8e-206,1.9e-201,683.2279053,21.65,3,524,4,525,2,529,0.99,Thermosome, alpha subunit,,0,0.988636363636364
MSMAW_3142,MSMAW_3142,551,Query,-,528,1.7e-201,683.4,21.7,1,1,8e-206,1.9e-201,683.2279053,21.65,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.988636363636364
MmTuc01_1431,MmTuc01_1431,551,Query,-,528,1.7e-201,683.4,21.7,1,1,8e-206,1.9e-201,683.2279053,21.65,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL / Thermosome subunit,,0,0.988636363636364
MSMAC_3334,MSMAC_3334,551,Query,-,528,1.7e-201,683.4,21.7,1,1,8e-206,1.9e-201,683.2279053,21.65,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.988636363636364
TK0678,TK0678,548,Query,-,528,1.7e-201,683.4,25,1,1,8.4e-206,2e-201,683.1665649,25.04,3,523,7,528,5,532,0.98,chaperonin, alpha subunit,,0,0.988636363636364
Arcpr_1420,Arcpr_1420,547,Query,-,528,1.7e-201,683.4,24.5,1,1,8.5e-206,2e-201,683.1394653,24.51,4,524,8,529,5,533,0.99,thermosome,,0,0.988636363636364
Tpen_0291,Tpen_0291,545,Query,-,528,2e-201,683.2,18.7,1,1,9.8e-206,2.3e-201,682.9376221,18.75,4,527,7,531,4,532,0.98,thermosome,,0,0.994318181818182
N186_04640,N186_04640,560,Query,-,528,2e-201,683.1,19.1,1,1,1.1e-205,2.6e-201,682.7624512,19.13,4,526,19,543,17,545,0.99,thermosome subunit,,0,0.994318181818182
MSKOL_3453,MSKOL_3453,551,Query,-,528,2.4e-201,682.9,22.4,1,1,1.1e-205,2.7e-201,682.7210693,22.39,3,526,4,527,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.992424242424242
MSVAZ_3485,MSVAZ_3485,551,Query,-,528,2.4e-201,682.9,22.4,1,1,1.1e-205,2.7e-201,682.7210693,22.39,3,526,4,527,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.992424242424242
MSMAS_3283,MSMAS_3283,551,Query,-,528,2.5e-201,682.8,21.7,1,1,1.2e-205,2.9e-201,682.6188965,21.75,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.988636363636364
MSWHS_3345,MSWHS_3345,556,Query,-,528,2.7e-201,682.7,21.2,1,1,1.4e-205,3.4e-201,682.4088745,21.22,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
MSWH1_3133,MSWH1_3133,556,Query,-,528,2.7e-201,682.7,21.2,1,1,1.4e-205,3.4e-201,682.4088745,21.22,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
TERMP_00583,TERMP_00583,552,Query,-,528,3e-201,682.6,29,1,1,1.5e-205,3.6e-201,682.3129272,29.03,3,524,10,532,8,535,0.99,thermosome subunit protein,,0,0.990530303030303
EO93_09505,EO93_09505,552,Query,-,528,3.2e-201,682.5,23.6,1,1,1.7e-205,4e-201,682.1734009,23.64,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
MSBR3_3410,MSBR3_3410,550,Query,-,528,3.2e-201,682.5,21.8,1,1,1.7e-205,4e-201,682.1710205,21.76,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
TES1_0941,TES1_0941,552,Query,-,528,3.3e-201,682.5,29.1,1,1,1.7e-205,4.1e-201,682.133667,29.15,3,523,10,531,8,534,0.99,thermosome subunit protein,,0,0.988636363636364
EO92_17440,EO92_17440,554,Query,-,528,3.3e-201,682.5,23.6,1,1,1.7e-205,4e-201,682.1541138,23.64,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
Mhar_1232,Mhar_1232,546,Query,-,528,3.7e-201,682.3,22,1,1,1.9e-205,4.5e-201,682.006958,21.96,4,520,8,522,5,527,0.99,Thermosome subunit delta,,0,0.975378787878788
TBCH5v1_0589,TBCH5v1_0589,552,Query,-,528,3.9e-201,682.2,28.6,1,1,2e-205,4.8e-201,681.9030762,28.57,3,524,10,532,8,535,0.99,Thermosome subunit alpha,,0,0.990530303030303
Mzhil_1510,Mzhil_1510,553,Query,-,528,3.9e-201,682.2,20.8,1,1,2.1e-205,5e-201,681.8606567,20.81,3,524,8,529,6,532,0.99,thermosome,,0,0.988636363636364
MSMAP_3148,MSMAP_3148,552,Query,-,528,4.1e-201,682.1,21.6,1,1,2e-205,4.7e-201,681.9421997,21.63,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.988636363636364
EO96_03085,EO96_03085,552,Query,-,528,4.3e-201,682.1,22.7,1,1,2.2e-205,5.3e-201,681.7650146,22.68,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
EO97_19430,EO97_19430,552,Query,-,528,4.3e-201,682.1,22.7,1,1,2.2e-205,5.3e-201,681.7650146,22.68,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
EO94_17520,EO94_17520,552,Query,-,528,4.3e-201,682.1,22.7,1,1,2.2e-205,5.3e-201,681.7650146,22.68,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
EO98_01905,EO98_01905,552,Query,-,528,4.3e-201,682.1,22.7,1,1,2.2e-205,5.3e-201,681.7650146,22.68,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
EO95_09230,EO95_09230,552,Query,-,528,5e-201,681.8,22.9,1,1,2.6e-205,6.2e-201,681.541748,22.89,3,522,4,524,2,529,0.99,thermosome subunit,,0,0.986742424242424
MSMAL_3284,MSMAL_3284,552,Query,-,528,6.2e-201,681.5,21.7,1,1,3e-205,7.2e-201,681.3339844,21.72,3,524,4,525,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.988636363636364
Tpen_0693,Tpen_0693,553,Query,-,528,6.5e-201,681.5,17.5,1,1,3.5e-205,8.4e-201,681.1092529,17.53,4,526,11,535,9,537,0.99,thermosome,,0,0.994318181818182
AciM339_1242,AciM339_1242,553,Query,-,528,6.5e-201,681.5,26.4,1,1,3.1e-205,7.5e-201,681.2680054,26.43,3,525,6,527,4,530,0.98,thermosome subunit,,0,0.988636363636364
Ferp_0880,Ferp_0880,551,Query,-,528,6.9e-201,681.4,26.6,1,1,3.5e-205,8.3e-201,681.1161499,26.57,3,524,7,529,5,533,0.99,thermosome,,0,0.990530303030303
LI82_04390,LI82_04390,542,Query,-,528,7.6e-201,681.2,22.5,1,1,3.7e-205,8.9e-201,681.0146484,22.53,3,522,4,523,2,528,0.99,thermosome subunit,,0,0.984848484848485
TON_0707,TON_0707,550,Query,-,528,8.8e-201,681,26.4,1,1,4.4e-205,1.1e-200,680.7716675,26.41,3,523,7,528,5,532,0.99,chaperonin, alpha subunit,,0,0.988636363636364
BD01_0648,BD01_0648,550,Query,-,528,9.7e-201,680.9,24.4,1,1,5.1e-205,1.2e-200,680.5775757,24.36,3,524,6,528,4,531,0.99,Chaperonin GroEL (HSP60 family),,0,0.990530303030303
NEQ141,NEQ141,540,Query,-,528,9.8e-201,680.9,22.7,1,1,4.9e-205,1.2e-200,680.6223145,22.65,3,526,6,530,4,532,0.99,NEQ141,,0,0.994318181818182
Asulf_01958,Asulf_01958,552,Query,-,528,1e-200,680.8,29.3,1,1,5.1e-205,1.2e-200,680.5737915,29.34,3,526,7,531,5,533,0.98,thermosome subunit,,0,0.994318181818182
MettiDRAFT_0956,MettiDRAFT_0956,551,Query,-,528,1.1e-200,680.8,25.7,1,1,5.6e-205,1.3e-200,680.4489746,25.7,3,521,8,524,6,529,0.99,thermosome subunit,,0,0.979166666666667
Metev_2050,Metev_2050,547,Query,-,528,1.1e-200,680.7,20.8,1,1,5.4e-205,1.3e-200,680.5025635,20.77,3,520,14,531,12,538,0.99,thermosome,,0,0.981060606060606
Mbur_2146,Mbur_2146,542,Query,-,528,1.1e-200,680.7,23.7,1,1,5.5e-205,1.3e-200,680.4598999,23.73,3,522,8,527,6,532,0.99,Thermosome subunit,,0,0.984848484848485
TGAM_1012,TGAM_1012,547,Query,-,528,1.4e-200,680.3,25.7,1,1,7e-205,1.7e-200,680.1210327,25.72,3,525,6,529,4,532,0.99,Thermosome alpha subunit (Thermosome subunit 1) (Chaperonin alpha subunit) (thsA),,0,0.992424242424242
PAP_02850,PAP_02850,550,Query,-,528,1.4e-200,680.3,28.5,1,1,7.6e-205,1.8e-200,680.0048218,28.53,3,523,10,531,8,534,0.99,thermosome subunit,,0,0.988636363636364
AciM339_1459,AciM339_1459,540,Query,-,528,1.5e-200,680.3,27.1,1,1,7.2e-205,1.7e-200,680.0759888,27.08,3,525,5,528,3,531,0.99,thermosome subunit,,0,0.992424242424242
MSMTP_3177,MSMTP_3177,553,Query,-,528,1.6e-200,680.2,22.2,1,1,7.8e-205,1.9e-200,679.960022,22.21,3,523,6,526,4,531,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.986742424242424
TAM4_436,TAM4_436,549,Query,-,528,1.8e-200,680,24.5,1,1,8.6e-205,2.1e-200,679.817749,24.45,3,524,6,528,4,532,0.99,Thermosome subunit alpha,,0,0.990530303030303
MCMEM_0337,MCMEM_0337,548,Query,-,528,1.8e-200,680,23.4,1,1,8.9e-205,2.1e-200,679.7766113,23.4,3,522,8,527,6,532,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
APY94_10935,APY94_10935,550,Query,-,528,1.8e-200,680,25.6,1,1,9.1e-205,2.2e-200,679.7435303,25.57,3,523,7,528,5,532,0.99,thermosome subunit,,0,0.988636363636364
MPEBLZ_01914,MPEBLZ_01914,551,Query,-,528,1.8e-200,680,24.3,1,1,9.5e-205,2.3e-200,679.6802368,24.35,3,521,8,527,6,531,0.99,thermosome subunit,,0,0.984848484848485
AOB57_07710,AOB57_07710,549,Query,-,528,1.9e-200,680,20.7,1,1,9.6e-205,2.3e-200,679.6608276,20.73,3,522,4,523,2,528,0.99,thermosome subunit,,0,0.984848484848485
MA_0086,MA_0086,552,Query,-,528,2.3e-200,679.6,21.5,1,1,1.2e-204,2.9e-200,679.3331299,21.51,3,522,4,523,2,528,0.99,Hsp60,,0,0.984848484848485
GACE_1820,GACE_1820,547,Query,-,528,2.9e-200,679.3,25.2,1,1,1.4e-204,3.3e-200,679.1367188,25.17,3,524,7,529,5,533,0.99,thermosome, subunit alpha,,0,0.990530303030303
APE_2072.1,APE_2072.1,548,Query,-,528,3e-200,679.3,11.3,1,1,1.6e-204,3.8e-200,678.9260864,11.32,4,526,15,539,13,541,0.99,thermosome beta subunit,,0,0.994318181818182
MSTHT_1881,MSTHT_1881,553,Query,-,528,3.1e-200,679.3,20.6,1,1,1.6e-204,3.8e-200,678.9467773,20.62,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
MSTHC_1403,MSTHC_1403,553,Query,-,528,3.1e-200,679.3,20.6,1,1,1.6e-204,3.8e-200,678.9467773,20.62,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
MSSIH_3897,MSSIH_3897,556,Query,-,528,3.4e-200,679.1,20.8,1,1,1.7e-204,4.1e-200,678.8186646,20.81,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
MSSAC_4396,MSSAC_4396,556,Query,-,528,3.4e-200,679.1,20.8,1,1,1.7e-204,4.1e-200,678.8186646,20.81,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
MSSIT_3967,MSSIT_3967,556,Query,-,528,3.4e-200,679.1,20.8,1,1,1.7e-204,4.1e-200,678.8186646,20.81,3,522,4,523,2,528,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.984848484848485
A9239_01820,A9239_01820,552,Query,-,528,3.4e-200,679.1,23.2,1,1,1.6e-204,3.9e-200,678.8998413,23.23,3,525,4,526,2,529,0.99,thermosome subunit,,0,0.990530303030303
MCM1_3592,MCM1_3592,552,Query,-,528,3.4e-200,679.1,23.2,1,1,1.6e-204,3.9e-200,678.8998413,23.23,3,525,4,526,2,529,0.99,thermosome subunit,,0,0.990530303030303
MSBRM_3445,MSBRM_3445,552,Query,-,528,3.4e-200,679.1,23.2,1,1,1.6e-204,3.9e-200,678.8998413,23.23,3,525,4,526,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.990530303030303
MSBR2_3399,MSBR2_3399,552,Query,-,528,3.4e-200,679.1,23.2,1,1,1.6e-204,3.9e-200,678.8998413,23.23,3,525,4,526,2,529,0.99,Heat shock protein 60 family chaperone GroEL,,0,0.990530303030303
